h,model_fun,mae
1,ranger_fun,0.19261935416665654
1,arima11_fun,0.19399942953715144
1,tbats_fun,0.19536230862910386
1,ets_fun,0.2435850144571976
1,lasso_fun,0.2597295580803083
1,arima_fun,0.3867930327869127
2,ranger_fun,0.23146949999999755
2,arima11_fun,0.23739408702272247
2,ets_fun,0.28120576268061726
2,tbats_fun,0.30067421286198925
2,lasso_fun,0.3702886513691217
2,arima_fun,0.39213114754099543
3,ranger_fun,0.26658204166667065
3,arima11_fun,0.3083557467689033
3,ets_fun,0.3177294898700227
3,tbats_fun,0.3829409555223826
3,arima_fun,0.3975819672131182
3,lasso_fun,0.46646896768507773
4,ets_fun,0.2746920695609374
4,ranger_fun,0.2992376875000131
4,arima11_fun,0.33397916736656086
4,arima_fun,0.4027151639344311
4,tbats_fun,0.4073527219773512
4,lasso_fun,0.5442821754441463
5,ets_fun,0.24320096844019368
5,ranger_fun,0.30103841666665954
5,tbats_fun,0.3547097315630001
5,arima11_fun,0.36592411951856185
5,arima_fun,0.4079098360655875
5,lasso_fun,0.594764832676125
6,ets_fun,0.3180024274263449
6,ranger_fun,0.3283855000000049
6,arima11_fun,0.3760857063474594
6,tbats_fun,0.382071584252043
6,arima_fun,0.4128688524590185
6,lasso_fun,0.6828775252538186
