date,h,model_fun,point_forecast
2019-01-01,3,arima_fun,0.009113611169859063
2019-01-01,3,arima11_fun,0.025333783475903718
2019-01-01,3,ets_fun,0.019432404134980187
2019-01-01,3,tbats_fun,0.014171897256470485
2018-07-01,1,arima_fun,0.009113611169859063
2018-07-01,1,arima11_fun,0.021703765029329327
2018-07-01,1,ets_fun,0.019432404134980187
2018-07-01,1,tbats_fun,0.01757530114840656
2018-10-01,2,arima_fun,0.009113611169859063
2018-10-01,2,arima11_fun,0.02683068451116033
2018-10-01,2,ets_fun,0.019432404134980187
2018-10-01,2,tbats_fun,0.015734476983794342
