value,date,access_date
88,1994-01-01,2001-03-02
130,1994-04-01,2001-03-02
168,1994-07-01,2001-03-02
225,1994-10-01,2001-03-02
235,1995-01-01,2003-04-28
325,1995-04-01,2003-04-28
421,1995-07-01,2003-04-28
448,1995-10-01,2003-04-28
425,1996-01-01,2003-04-28
469,1996-04-01,2003-04-28
549,1996-07-01,2003-04-28
565,1996-10-01,2003-04-28
513,1997-01-01,2003-04-28
555,1997-04-01,2003-04-28
634,1997-07-01,2003-04-28
641,1997-10-01,2003-04-28
551,1998-01-01,2003-04-28
602,1998-04-01,2003-04-28
676,1998-07-01,2003-04-28
801,1998-10-01,2003-04-28
901,1999-01-01,2003-04-28
1102,1999-04-01,2003-04-28
1373,1999-07-01,2003-04-28
1447,1999-10-01,2003-04-28
1527,2000-01-01,2003-04-28
1697,2000-04-01,2003-04-28
2038,2000-07-01,2003-04-28
2044,2000-10-01,2003-04-28
1901,2001-01-01,2004-04-29
2105,2001-04-01,2004-04-29
2488,2001-07-01,2004-04-29
2450,2001-10-01,2004-04-29
2262,2002-01-01,2011-04-29
2529,2002-04-01,2011-04-29
3013,2002-07-01,2011-04-29
3027,2002-10-01,2011-04-29
2851,2003-01-01,2011-04-29
3102,2003-04-01,2011-04-29
3600,2003-07-01,2011-04-29
3655,2003-10-01,2005-07-01
3516,2004-01-01,2011-04-29
3972,2004-04-01,2011-04-29
4594,2004-07-01,2011-04-29
4945,2004-10-01,2011-04-29
4459,2005-01-01,2011-04-29
5078,2005-04-01,2011-04-29
5845,2005-07-01,2011-04-29
6228,2005-10-01,2011-04-29
5793,2006-01-01,2011-04-29
6368,2006-04-01,2011-04-29
7276,2006-07-01,2011-04-29
7480,2006-10-01,2011-04-29
6780,2007-01-01,2011-04-29
7768,2007-04-01,2011-04-29
8903,2007-07-01,2011-04-29
9797,2007-10-01,2011-04-29
8878,2008-01-01,2011-04-29
10238,2008-04-01,2011-04-29
11542,2008-07-01,2011-04-29
10619,2008-10-01,2011-04-29
8335,2009-01-01,2012-04-03
9245,2009-04-01,2012-04-03
10411,2009-07-01,2012-04-03
10816,2009-10-01,2012-04-03
9996,2010-01-01,2013-04-30
10977,2010-04-01,2013-04-30
12086,2010-07-01,2013-04-30
13249,2010-10-01,2013-04-30
12844,2011-01-01,2016-04-29
14314,2011-04-01,2016-04-29
15663,2011-07-01,2016-04-29
16877,2011-10-01,2016-04-29
14925,2012-01-01,2016-04-29
16149,2012-04-01,2016-04-29
17442,2012-07-01,2016-04-29
18411,2012-10-01,2016-04-29
15892,2013-01-01,2016-04-29
17015,2013-04-01,2016-04-29
18543,2013-07-01,2016-04-29
19567,2013-10-01,2016-04-29
17390,2014-01-01,2017-05-03
19128,2014-04-01,2017-05-03
20759,2014-07-01,2017-05-03
21923,2014-10-01,2017-05-03
18579,2015-01-01,2018-04-27
19866,2015-04-01,2018-04-27
22018,2015-07-01,2018-04-27
22925,2015-10-01,2018-04-27
19110,2016-01-01,2018-04-27
20625,2016-04-01,2018-04-27
22516,2016-07-01,2018-04-27
23898,2016-10-01,2018-04-27
20550,2017-01-01,2018-04-27
22035,2017-04-01,2018-04-27
23949,2017-07-01,2018-04-27
25503,2017-10-01,2018-04-27
22239,2018-01-01,2018-07-31
