date,h,model_fun,point_forecast
2019-03-01,6,arima_fun,100.56357142857146
2019-03-01,6,arima11_fun,100.50810807034622
2019-03-01,6,ets_fun,100.4997445308566
2019-03-01,6,tbats_fun,100.35389251167345
2018-10-01,1,arima_fun,100.56357142857146
2018-10-01,1,arima11_fun,100.33505621056392
2018-10-01,1,ets_fun,100.36431432565797
2018-10-01,1,tbats_fun,100.46272289754741
2018-11-01,2,arima_fun,100.56357142857146
2018-11-01,2,arima11_fun,100.43493394529568
2018-11-01,2,ets_fun,100.46418854285304
2018-11-01,2,tbats_fun,100.3834795924305
2018-12-01,3,arima_fun,100.56357142857146
2018-12-01,3,arima11_fun,100.63821281117409
2018-12-01,3,ets_fun,100.74312732200474
2018-12-01,3,tbats_fun,100.69508044606417
2019-01-01,4,arima_fun,100.56357142857146
2019-01-01,4,arima11_fun,100.84765101257116
2019-01-01,4,ets_fun,101.12719085738539
2019-01-01,4,tbats_fun,100.91400724155194
2019-02-01,5,arima_fun,100.56357142857146
2019-02-01,5,arima11_fun,100.5839258763818
2019-02-01,5,ets_fun,100.66569514628522
2019-02-01,5,tbats_fun,100.58003759498416
