h,model_fun,mae
1,arima11_fun,0.18278049025736257
1,tbats_fun,0.18710738138186986
1,ets_fun,0.18783596413651835
1,arima_fun,0.40172675521821205
2,arima11_fun,0.24197279278107978
2,ets_fun,0.27220537782743376
2,tbats_fun,0.27849158392893386
2,arima_fun,0.4069259962049171
3,arima11_fun,0.31327619491375625
3,tbats_fun,0.34604983286768026
3,ets_fun,0.3501853230735731
3,arima_fun,0.4120872865274964
4,ets_fun,0.30011213450169005
4,arima11_fun,0.33274611547848065
4,tbats_fun,0.3449277553205782
4,arima_fun,0.41708728652749855
5,ets_fun,0.2672754667788085
5,tbats_fun,0.33011304232943295
5,arima11_fun,0.3584500767672819
5,arima_fun,0.421878557874762
6,tbats_fun,0.31905205450601337
6,ets_fun,0.32831714866088313
6,arima11_fun,0.36440600356714936
6,arima_fun,0.426783681214426
