date,h,model_fun,point_forecast
2019-05-01,6,arima_fun,100.56034883720926
2019-05-01,6,arima11_fun,100.50517707692785
2019-05-01,6,ets_fun,100.50141416864416
2019-05-01,6,tbats_fun,100.53118072706673
2018-12-01,1,arima_fun,100.56034883720926
2018-12-01,1,arima11_fun,100.70791866958574
2018-12-01,1,ets_fun,100.78748068782957
2018-12-01,1,tbats_fun,100.8457744552258
2019-01-01,2,arima_fun,100.56034883720926
2019-01-01,2,arima11_fun,100.91692408383197
2019-01-01,2,ets_fun,101.08839376419596
2019-01-01,2,tbats_fun,101.11000274413938
2019-02-01,3,arima_fun,100.56034883720926
2019-02-01,3,arima11_fun,100.62664418001992
2019-02-01,3,ets_fun,100.70455365273448
2019-02-01,3,tbats_fun,100.77020293983976
2019-03-01,4,arima_fun,100.56034883720926
2019-03-01,4,arima11_fun,100.53871166064769
2019-03-01,4,ets_fun,100.60640594437838
2019-03-01,4,tbats_fun,100.59525486738322
2019-04-01,5,arima_fun,100.56034883720926
2019-04-01,5,arima11_fun,100.4840378043117
2019-04-01,5,ets_fun,100.49441800397342
2019-04-01,5,tbats_fun,100.61506905587629
