h,model_fun,mae
1,arima11_fun,0.1684924539911325
1,tbats_fun,0.19145339239819617
1,ets_fun,0.20285869619866967
1,arima_fun,0.39680147058823134
2,arima11_fun,0.24411400559904617
2,tbats_fun,0.2602991657174865
2,ets_fun,0.2884109990977484
2,arima_fun,0.40201286764705746
3,tbats_fun,0.3057566444391368
3,arima11_fun,0.30631462624756395
3,ets_fun,0.3121535326912642
3,arima_fun,0.4072794117647066
4,ets_fun,0.30899402687278404
4,arima11_fun,0.33106127031873667
4,tbats_fun,0.33119222715470104
4,arima_fun,0.41218750000000004
5,ets_fun,0.27163432215970784
5,arima11_fun,0.35794619535615835
5,tbats_fun,0.361316230668583
5,arima_fun,0.41690257352941107
6,ets_fun,0.2926174770763531
6,tbats_fun,0.3437677380378504
6,arima11_fun,0.3583282754616757
6,arima_fun,0.4217922794117662
