Date,Employment in Manufacturing,Industrial Production,"""Consumer Prices. all items""",Interbank rate,"Interest Rates, Lending Rate",Реальные денежные доходы (HHI_M_DIRI),Unemployment Rate,"""Producer Prices. all items""",Ввод в действие жилых домов (CONSTR_M_NAT),Индекс реальных инвестицй в основной капитал,Реальная зарплата (WAG_M),М2,RTS index,Real Effective Exchange Rate. Consumer Price Index,"Commodity Prices, Natural Gas",Trade Balance ,Total Reserves excluding Gold,"National Currency per U.S. Dollar, end of period, курс на ММВБ",Заявленная потребность в работниках ,Индекс реальнго объема сельхозпроизводства,Индекс реального оборота розничной торговли ,Сальдо консолидированного бюджеьа,"Goods, Value of Exports","Goods, Value of Imports"
1992 Jan,189.432983539258,,0.0158098697365022,,,,,,,,,1,,,,,,,,,,,2569.2,
1992 Feb,189.595283746907,,0.0218176296363728,,,,,0.018904982850087782,,,,1.2,,,,,,,,,,,2621,
1992 Mar,190.024901943624,,0.0283410995276483,,,,,0.02190171681607121,,,,1.3,,,,,,,,,,,2957.7,
1992 Apr,190.063090227777,,0.0344911094251482,,,,,0.025648063113557065,,,,1.5,,,,,,,,,,,3148.2,
1992 May,189.509360107563,,0.0385955593567407,,,,,0.029999931500334365,,,,1.6,,,,,,,,,,,3517.8,
1992 Jun,188.459182293365,,0.0459673092338782,,,,,0.03720444361088409,,,,2,,,,,,,,,,,3933.4,
1992 Jul,188.020017025609,,0.0508398391526694,,,,,0.043515253147720395,,,,2.6,,,,,,,,,,,3340.2,
1992 Aug,186.616597582999,,0.0552120690797989,,,,,0.047002580081231725,,,,3.3,,,,,,,,,,,3455.7,
1992 Sep,185.26091349558,,0.0615614589739757,,,,,0.05028749453163714,,,,4.4,,,,,,,,,,,3664.7,
1992 Oct,184.210735681382,,0.0756590287390162,,,,,0.0638611384199181,,,,5.5,,,,,,,,,,,4056.5,
1992 Nov,183.275122719642,,0.0954060384098994,,,,,0.08112280636479001,,,,5.9,,,,,,,,,,,4368.5,
1992 Dec,182.329962686863,,0.119448398009193,,,100,,0.09734753917375066,,,,6.2,,,,,,,,,,,4743.4,
1993 Jan,176.46806106943,,0.150265997495567,,,73,,0.12849847725174662,500,,100,7,,,,,,,,100,,,2698,
1993 Feb,177.565974238819,,0.187381696876972,,,79.6,,0.1674371498492416,500,,99.04,7.5,,,,,,,,106.7,,,2892.9,
1993 Mar,174.816417779828,,0.225045496249242,,,85.9,,0.1985889456072508,3200,,101.77,8.6,,,,,,,,135.5,,,3042.8,
1993 Apr,175.685201244301,,0.26712899554785,,,85,,0.24044801864955803,1200,,110.05,10.7,,,,,,,,152.9,,,3167.4,
1993 May,174.205405233386,,0.315479294742012,,,83.3,,0.28328055850680267,1300,,115.47,13,,,,,,,,177.5,,,3625,
1993 Jun,173.498921976561,,0.378259693695672,,,98.3,,0.32806088967393515,4800,,120.65,15.3,,,,,,,,212.8,,,3902,
1993 Jul,172.563309014821,,0.462989892283502,,,95.3,,0.41956677027804856,1800,,116.38,17.9,,,,,,,,271.7,,,3387.5,
1993 Aug,171.32218977986,,0.583367290277212,,,95.1,,0.5285959112310478,1500,,107.85,20.5,,,,,,,,429.2,,,3678.7,
