date,value,access_date
1991-01-01,106.2,2019-01-20
1991-02-01,104.8,2019-01-20
1991-03-01,106.3,2019-01-20
1991-04-01,163.5,2019-01-20
1991-05-01,103,2019-01-20
1991-06-01,101.2,2019-01-20
1991-07-01,100.6,2019-01-20
1991-08-01,100.5,2019-01-20
1991-09-01,101.1,2019-01-20
1991-10-01,103.5,2019-01-20
1991-11-01,108.9,2019-01-20
1991-12-01,112.1,2019-01-20
1992-01-01,345.3,2019-01-20
1992-02-01,138,2019-01-20
1992-03-01,129.9,2019-01-20
1992-04-01,121.7,2019-01-20
1992-05-01,111.9,2019-01-20
1992-06-01,119.1,2019-01-20
1992-07-01,110.6,2019-01-20
1992-08-01,108.6,2019-01-20
1992-09-01,111.5,2019-01-20
1992-10-01,122.9,2019-01-20
1992-11-01,126.1,2019-01-20
1992-12-01,125.2,2019-01-20
1993-01-01,125.8,2019-01-20
1993-02-01,124.7,2019-01-20
1993-03-01,120.1,2019-01-20
1993-04-01,118.7,2019-01-20
1993-05-01,118.1,2019-01-20
1993-06-01,119.9,2019-01-20
1993-07-01,122.39,2019-01-20
1993-08-01,126,2019-01-20
1993-09-01,123,2019-01-20
1993-10-01,119.5,2019-01-20
1993-11-01,116.39,2019-01-20
1993-12-01,112.5,2019-01-20
1994-01-01,117.9,2019-01-20
1994-02-01,110.82,2019-01-20
1994-03-01,107.41,2019-01-20
1994-04-01,108.49,2019-01-20
1994-05-01,106.91,2019-01-20
1994-06-01,106,2019-01-20
1994-07-01,105.33,2019-01-20
1994-08-01,104.62,2019-01-20
1994-09-01,107.96,2019-01-20
1994-10-01,115,2019-01-20
1994-11-01,114.61,2019-01-20
1994-12-01,116.44,2019-01-20
1995-01-01,117.77,2019-01-20
1995-02-01,111.02,2019-01-20
1995-03-01,108.94,2019-01-20
1995-04-01,108.47,2019-01-20
1995-05-01,107.93,2019-01-20
1995-06-01,106.66,2019-01-20
1995-07-01,105.38,2019-01-20
1995-08-01,104.56,2019-01-20
1995-09-01,104.46,2019-01-20
1995-10-01,104.72,2019-01-20
1995-11-01,104.56,2019-01-20
1995-12-01,103.2,2019-01-20
1996-01-01,104.11,2019-01-20
1996-02-01,102.79,2019-01-20
1996-03-01,102.8,2019-01-20
1996-04-01,102.16,2019-01-20
1996-05-01,101.6,2019-01-20
1996-06-01,101.17,2019-01-20
1996-07-01,100.72,2019-01-20
1996-08-01,99.79,2019-01-20
1996-09-01,100.33,2019-01-20
1996-10-01,101.2,2019-01-20
1996-11-01,101.88,2019-01-20
1996-12-01,101.42,2019-01-20
1997-01-01,102.34,2019-01-20
1997-02-01,101.54,2019-01-20
1997-03-01,101.43,2019-01-20
