date,h,model_fun,point_forecast
2019-06-01,6,arima_fun,100.56356321839081
2019-06-01,6,arima11_fun,100.52999702408822
2019-06-01,6,ets_fun,100.67208153860443
2019-06-01,6,tbats_fun,100.67166040552164
2019-01-01,1,arima_fun,100.56356321839081
2019-01-01,1,arima11_fun,101.05999607743111
2019-01-01,1,ets_fun,101.19391197164381
2019-01-01,1,tbats_fun,101.07103631675749
2019-02-01,2,arima_fun,100.56356321839081
2019-02-01,2,arima11_fun,100.71713787407825
2019-02-01,2,ets_fun,100.83250440177221
2019-02-01,2,tbats_fun,100.71769979348511
2019-03-01,3,arima_fun,100.56356321839081
2019-03-01,3,arima11_fun,100.59929372061252
2019-03-01,3,ets_fun,100.75730221938217
2019-03-01,3,tbats_fun,100.57585082009041
2019-04-01,4,arima_fun,100.56356321839081
2019-04-01,4,arima11_fun,100.51856273348935
2019-04-01,4,ets_fun,100.67225082304644
2019-04-01,4,tbats_fun,100.59583868840204
2019-05-01,5,arima_fun,100.56356321839081
2019-05-01,5,arima11_fun,100.53224156867371
2019-05-01,5,ets_fun,100.66131059840968
2019-05-01,5,tbats_fun,100.50101465494086
