date,ind_prod,access_date
2013-01-01,81.5,2019-03-05
2013-02-01,99.7,2019-03-05
2013-03-01,113.5,2019-03-05
2013-04-01,95.6,2019-03-05
2013-05-01,101.1,2019-03-05
2013-06-01,98,2019-03-05
2013-07-01,101.4,2019-03-05
2013-08-01,99.5,2019-03-05
2013-09-01,102.3,2019-03-05
2013-10-01,105.1,2019-03-05
2013-11-01,103.1,2019-03-05
2013-12-01,108.3,2019-03-05
2014-01-01,77.8,2019-03-05
2014-02-01,101.5,2019-03-05
2014-03-01,109.2,2019-03-05
2014-04-01,98.6,2019-03-05
2014-05-01,98.2,2019-03-05
2014-06-01,101.7,2019-03-05
2014-07-01,101.2,2019-03-05
2014-08-01,99.7,2019-03-05
2014-09-01,103.6,2019-03-05
2014-10-01,106.3,2019-03-05
2014-11-01,99.3,2019-03-05
2014-12-01,112.4,2019-03-05
2015-01-01,73.9,2019-03-05
2015-02-01,99.8,2019-03-05
2015-03-01,112.5,2019-03-05
2015-04-01,95.6,2019-03-05
2015-05-01,97.6,2019-03-05
2015-06-01,103.2,2019-03-05
2015-07-01,100.5,2019-03-05
2015-08-01,101.4,2019-03-05
2015-09-01,103.1,2019-03-05
2015-10-01,105,2019-03-05
2015-11-01,101.9,2019-03-05
2015-12-01,109.1,2019-03-05
2016-01-01,75,2019-03-05
2016-02-01,102.4,2019-03-05
2016-03-01,109.8,2019-03-05
2016-04-01,96.1,2019-03-05
2016-05-01,98.2,2019-03-05
2016-06-01,104.8,2019-03-05
2016-07-01,101.1,2019-03-05
2016-08-01,100.1,2019-03-05
2016-09-01,103.6,2019-03-05
2016-10-01,107.5,2019-03-05
2016-11-01,102.9,2019-03-05
2016-12-01,107.6,2019-03-05
2017-01-01,76,2019-03-05
2017-02-01,96.7,2019-03-05
2017-03-01,113.9,2019-03-05
2017-04-01,95.9,2019-03-05
2017-05-01,101.7,2019-03-05
2017-06-01,101.3,2019-03-05
2017-07-01,98,2019-03-05
2017-08-01,103.8,2019-03-05
2017-09-01,103.1,2019-03-05
2017-10-01,104.2,2019-03-05
2017-11-01,101.1,2019-03-05
2017-12-01,107.4,2019-03-05
2018-01-01,79.3,2019-03-05
2018-02-01,97.5,2019-03-05
2018-03-01,113.4,2019-03-05
2018-04-01,96.9,2019-03-05
2018-05-01,101.5,2019-03-05
2018-06-01,99.8,2019-03-05
2018-07-01,99.7,2019-03-05
2018-08-01,102.7,2019-03-05
2018-09-01,102.5,2019-03-05
2018-10-01,105.8,2019-03-05
2018-11-01,99.8,2019-03-05
2018-12-01,107,2019-03-05
2019-01-01,78.5,2019-03-05
