date,dur_1_day,dur_2_7_days,dur_8_30_days,dur_31_90_days,dur_91_180_days,dur_181_plus_days
2000-08-01,4.45,7.98,8.89,11.07,14.83,26
2000-09-01,3.18,6.86,8.29,15.5,22.5,31
2000-10-01,4.97,6.71,9.54,11.62,22,26
2000-11-01,7.94,7.57,11.48,11.63,18.2,17
2000-12-01,8.44,11.11,13.27,14.78,17.5,15.4
2001-01-01,5.23,7.36,10.83,13.44,5.83,18.25
2001-02-01,12.01,8.64,14.08,16.08,24.38,21.2
2001-03-01,8.45,10.3,13.8,12.85,23.83,21.12
2001-04-01,9.52,12.12,14.17,15.78,22.34,11.71
2001-05-01,6.67,9.05,11.94,13.43,17.74,11.6
2001-06-01,12.56,12.1,14.49,18.5,17.75,20.25
2001-07-01,6.35,9.42,11.95,13.17,23.11,22.08
2001-08-01,7.2,8.83,12.01,15.36,21.32,22.52
2001-09-01,8.45,10.59,13,13.6,28,24.97
2001-10-01,7.13,8.72,13.68,14.49,26.5,19.03
2001-11-01,13.77,14.16,14.5,15.07,22.35,18
2001-12-01,24.5,25.02,22.52,20.8,19.73,18.11
2002-01-01,9.57,10.05,15.67,14.95,20.71,18
2002-02-01,12.71,12.09,15,14.77,20.6,18
2002-03-01,12.52,13.23,15.2,17.42,21.94,17.69
2002-04-01,9.28,11.29,14.42,15.51,20.58,18.75
2002-05-01,5.12,8.42,13.54,13.14,21.59,20.54
2002-06-01,6.21,9.4,12.44,11.82,20.46,20
2002-07-01,12.88,11.2,14.08,13.68,19.71,21
2002-08-01,4.83,8.29,11.99,11.91,19.09,19.75
2002-09-01,6.01,8.04,10.48,12.78,19.46,
2002-10-01,6.4,7.16,11.08,11.71,20.15,18.19
2002-11-01,4.14,9.75,11.1,15.2,19.12,18.24
2002-12-01,5.11,7.55,12.81,14.55,17.83,17.66
2003-01-01,6.46,7.33,10.6,13.66,20.66,17.97
2003-02-01,2.51,4.65,8.29,14.65,17.44,17.58
2003-03-01,2.63,4.1,4.56,5.77,12.62,17.22
2003-04-01,1.89,2.88,3.93,6.04,11.55,16.08
2003-05-01,1.31,2.82,3.22,4.58,15.63,17.3
2003-06-01,1.36,2.12,3.64,6.54,11.98,13.37
2003-07-01,3.62,4.05,4.02,5.47,12.35,14.23
2003-08-01,3.81,4.61,4.52,5.97,11.25,10.94
2003-09-01,9.78,9.4,8.06,9.13,11.1,12.52
2003-10-01,4.79,6.03,6.38,7.8,11.33,12.34
2003-11-01,3.33,3.26,4.41,8.81,13.65,14.9
2003-12-01,1.39,2.52,5.01,6.74,11.41,13.21
2004-01-01,1.09,1.55,3.82,5.9,6.08,12.48
2004-02-01,1.18,2.01,3.04,5.06,8.05,12.35
2004-03-01,1.67,2.49,3.03,3.92,6.94,12.48
2004-04-01,5.86,5.21,5.85,6.9,10.14,10.6
2004-05-01,10.08,9.49,8.49,8.31,10.04,11.91
2004-06-01,6.41,6.25,7.38,9.23,12.71,15.04
2004-07-01,3.73,4.14,5.41,10.11,12.69,13.5
2004-08-01,3.79,4.68,6.59,7.96,10.92,12.52
2004-09-01,2.91,3.19,4.29,8.52,11.32,12.58
2004-10-01,1.17,1.56,3.51,6.66,9.69,10.65
2004-11-01,1.09,1.77,3.74,7.53,10.78,11.99
2004-12-01,1.12,1.76,3.73,6.24,11.49,12.27
2005-01-01,1.03,1.53,3.15,6.11,11.44,12.59
2005-02-01,1.03,1.65,3.18,6.02,9.14,10.75
2005-03-01,0.92,1.74,2.69,4.39,6.75,12.43
2005-04-01,1.38,1.79,3.07,4.16,7.78,7.64
2005-05-01,2.85,3.05,3.5,4.15,8.5,9.33
2005-06-01,3.94,3.77,4.29,5.26,6.15,9.38
2005-07-01,3.42,3.88,4.23,5.08,6,9.75
2005-08-01,2.48,2.88,3.53,4.84,6.93,10.31
2005-09-01,1.37,1.87,3.65,4.1,5.56,8.29
2005-10-01,2.82,2.84,3.5,4.49,6.3,8.25
2005-11-01,5.74,5.79,5.56,6.62,6.75,10
2005-12-01,4.68,4.99,5.84,7.33,7.59,9
2006-01-01,2.93,3.14,3.7,6.74,6.63,7
2006-02-01,2.81,2.89,4,6.54,8.6,5.63
2006-03-01,3.03,3.25,3.66,5.38,8.07,8.5
2006-04-01,3.48,3.95,4.08,4.33,6.3,9.5
2006-05-01,2.21,2.67,3.1,4,6.13,11.5
2006-06-01,2.69,3,3.78,3.49,8.79,7.79
