date,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,access_date
1993-01-01,4532,1954,1953,1,1,2578,2019-03-05
1993-04-01,5378,2798,2796,0,1,2580,2019-03-05
1993-07-01,7141,4396,4394,1,1,2745,2019-03-05
1993-10-01,9112,6157,6117,38,1,2955,2019-03-05
1994-01-01,8894,5835,5829,5,1,3059,2019-03-05
1994-04-01,7642,4602,4599,2,1,3040,2019-03-05
1994-07-01,10511,8048,7159,888,2,2463,2019-03-05
1994-10-01,6745,4161,3834,326,1,2584,2019-03-05
1995-01-01,6506,3980,3976,3,1,2525,2019-03-05
1995-04-01,6552,4148,4145,2,1,2404,2019-03-05
1995-07-01,12413,10086,9857,227,1,2327,2019-03-05
1995-10-01,13622,11154,11022,132,1,2467,2019-03-05
1996-01-01,17207,14383,14265,117,1,2824,2019-03-05
1996-04-01,19248,16331,16074,256,1,2917,2019-03-05
1996-07-01,15877,12792,12652,139,1,3085,2019-03-05
1996-10-01,15075,11399,11392,5,1,3677,2019-03-05
1997-01-01,15324,11276,11271,5,1,4047,2019-03-05
1997-02-01,13993,9930,9924,4,1,4064,2019-03-05
1997-03-01,15208,11127,11117,9,1,4081,2019-03-05
1997-04-01,16495,12429,12427,1,1,4066,2019-03-05
1997-05-01,18184,14068,14066,1,1,4117,2019-03-05
1997-06-01,20016,15884,15798,85,1,4132,2019-03-05
1997-07-01,24549,20396,20389,5,1,4153,2019-03-05
1997-08-01,24456,20186,20180,5,1,4270,2019-03-05
1997-09-01,23920,19604,19603,0,1,4316,2019-03-05
1997-10-01,23105,18737,18733,3,1,4368,2019-03-05
1997-11-01,22916,18448,18443,3,1,4468,2019-03-05
1997-12-01,16810,12201,12199,1,1,4608,2019-03-05
1998-01-01,17784,12895,12771,122,1,4889,2019-03-05
1998-02-01,15375,10480,10477,1,1,4895,2019-03-05
1998-03-01,15034,10212,10208,3,1,4822,2019-03-05
1998-04-01,16859,11910,11906,3,1,4948,2019-03-05
1998-05-01,15953,10957,10952,3,1,4996,2019-03-05
1998-06-01,14627,9625,9621,3,1,5002,2019-03-05
1998-07-01,16169,11161,10906,253,1,5008,2019-03-05
1998-08-01,18409,13805,13791,13,1,4604,2019-03-05
1998-09-01,12459,8198,8196,0,1,4262,2019-03-05
1998-10-01,12709,8840,8839,0,1,3869,2019-03-05
1998-11-01,13572,9656,9590,64,1,3916,2019-03-05
1998-12-01,12480,8175,8172,1,1,4306,2019-03-05
1999-01-01,12223,7801,7800,0,1,4422,2019-03-05
1999-02-01,11621,7078,7014,63,1,4543,2019-03-05
1999-03-01,11437,7284,7281,2,1,4153,2019-03-05
1999-04-01,10765,6679,6676,1,1,4086,2019-03-05
1999-05-01,11168,7074,7011,62,1,4094,2019-03-05
1999-06-01,11937,8034,8032,0,1,3903,2019-03-05
1999-07-01,12152,8189,8187,1,1,3964,2019-03-05
1999-08-01,11921,7827,7184,642,1,4094,2019-03-05
1999-09-01,11231,6824,6663,160,1,4407,2019-03-05
1999-10-01,11212,6634,6632,0,1,4579,2019-03-05
1999-11-01,11752,7081,7080,0,1,4671,2019-03-05
1999-12-01,11504,7599,7597,1,1,3906,2019-03-05
2000-01-01,12456,8457,8455,1,1,3998,2019-03-05
2000-02-01,12948,8912,8911,1,1,4035,2019-03-05
2000-03-01,13657,9606,9605,0,1,4051,2019-03-05
2000-04-01,15532,11456,11455,0,1,4076,2019-03-05
2000-05-01,17091,13410,13408,0,1,3682,2019-03-05
2000-06-01,19570,15878,15876,1,1,3692,2019-03-05
2000-07-01,20996,17685,17682,2,1,3312,2019-03-05
2000-08-01,23302,19955,19954,0,1,3347,2019-03-05
2000-09-01,23731,20289,20287,1,1,3442,2019-03-05
2000-10-01,25007,21474,21472,1,1,3533,2019-03-05
2000-11-01,25880,22290,22288,1,1,3590,2019-03-05
2000-12-01,27667,24035,24033,1,1,3632,2019-03-05
2001-01-01,27972,24264,24263,1,1,3708,2019-03-05
2001-02-01,29638,25888,25887,1,1,3749,2019-03-05
