date,agriculture,access_date
1999-01-01,96.5,2019-03-08
1999-02-01,97.2,2019-03-08
1999-03-01,97.7,2019-03-08
1999-04-01,99.1,2019-03-08
1999-05-01,100.1,2019-03-08
1999-06-01,100.3,2019-03-08
1999-07-01,106.2,2019-03-08
1999-08-01,104.9,2019-03-08
1999-09-01,106,2019-03-08
1999-10-01,109.7,2019-03-08
1999-11-01,106.9,2019-03-08
1999-12-01,103,2019-03-08
2000-01-01,102.6,2019-03-08
2000-02-01,104.2,2019-03-08
2000-03-01,104.6,2019-03-08
2000-04-01,101.6,2019-03-08
2000-05-01,101.6,2019-03-08
2000-06-01,101.6,2019-03-08
2000-07-01,104.7,2019-03-08
2000-08-01,118.6,2019-03-08
2000-09-01,106.7,2019-03-08
2000-10-01,103.9,2019-03-08
2000-11-01,102.6,2019-03-08
2000-12-01,99.3,2019-03-08
2001-01-01,101.7,2019-03-08
2001-02-01,101.1,2019-03-08
2001-03-01,101.6,2019-03-08
2001-04-01,102.7,2019-03-08
2001-05-01,103.4,2019-03-08
2001-06-01,102.8,2019-03-08
2001-07-01,115.4,2019-03-08
2001-08-01,118.2,2019-03-08
2001-09-01,103.7,2019-03-08
2001-10-01,101.1,2019-03-08
2001-11-01,106.5,2019-03-08
2001-12-01,104.8,2019-03-08
2002-01-01,103.2,2019-03-08
2002-02-01,104.8,2019-03-08
2002-03-01,105.6,2019-03-08
2002-04-01,104.3,2019-03-08
2002-05-01,102.6,2019-03-08
2002-06-01,101.1,2019-03-08
2002-07-01,103.5,2019-03-08
2002-08-01,96.2,2019-03-08
2002-09-01,95,2019-03-08
2002-10-01,109.4,2019-03-08
2002-11-01,109.9,2019-03-08
2002-12-01,99.2,2019-03-08
2003-01-01,99.7,2019-03-08
2003-02-01,99.8,2019-03-08
2003-03-01,99,2019-03-08
2003-04-01,98.5,2019-03-08
2003-05-01,97.4,2019-03-08
2003-06-01,95.9,2019-03-08
2003-07-01,91.6,2019-03-08
2003-08-01,90,2019-03-08
2003-09-01,109,2019-03-08
2003-10-01,111.3,2019-03-08
2003-11-01,102.8,2019-03-08
2003-12-01,99,2019-03-08
2004-01-01,99,2019-03-08
2004-02-01,99,2019-03-08
2004-03-01,99,2019-03-08
2004-04-01,99.6,2019-03-08
2004-05-01,99.5,2019-03-08
2004-06-01,99.7,2019-03-08
2004-07-01,113.3,2019-03-08
2004-08-01,109.8,2019-03-08
2004-09-01,97.1,2019-03-08
2004-10-01,101.6,2019-03-08
