date,budget,access_date
1999-01-01,3.4,2019-03-08
1999-02-01,-3.8,2019-03-08
1999-03-01,-17.1,2019-03-08
1999-04-01,-21.5,2019-03-08
1999-05-01,-30.9,2019-03-08
1999-06-01,-38.2,2019-03-08
1999-07-01,-37.9,2019-03-08
1999-08-01,-36.2,2019-03-08
1999-09-01,-36.5,2019-03-08
1999-10-01,-29.7,2019-03-08
1999-11-01,-9.9,2019-03-08
1999-12-01,-44.4,2019-03-08
2000-01-01,19.1,2019-03-08
2000-02-01,32.6,2019-03-08
2000-03-01,36.3,2019-03-08
2000-04-01,65,2019-03-08
2000-05-01,108.2,2019-03-08
2000-06-01,126.9,2019-03-08
2000-07-01,150.5,2019-03-08
2000-08-01,174,2019-03-08
2000-09-01,191.1,2019-03-08
2000-10-01,214.4,2019-03-08
2000-11-01,248.7,2019-03-08
2000-12-01,137.6,2019-03-08
2001-01-01,53.2,2019-03-08
2001-02-01,49.5,2019-03-08
2001-03-01,69.9,2019-03-08
2001-04-01,119.8,2019-03-08
2001-05-01,177.7,2019-03-08
2001-06-01,179,2019-03-08
2001-07-01,167.8,2019-03-08
2001-08-01,230.6,2019-03-08
2001-09-01,225.8,2019-03-08
2001-10-01,262.7,2019-03-08
2001-11-01,312.2,2019-03-08
2001-12-01,264.3,2019-03-08
2002-01-01,105,2019-03-08
2002-02-01,111.2,2019-03-08
2002-03-01,122.7,2019-03-08
2002-04-01,162.7,2019-03-08
2002-05-01,204.5,2019-03-08
2002-06-01,184.6,2019-03-08
2002-07-01,239,2019-03-08
2002-08-01,250.5,2019-03-08
2002-09-01,264.3,2019-03-08
2002-10-01,241.2,2019-03-08
2002-11-01,233.7,2019-03-08
2002-12-01,97,2019-03-08
2003-01-01,95.7,2019-03-08
2003-02-01,89.2,2019-03-08
2003-03-01,105.5,2019-03-08
2003-04-01,172.1,2019-03-08
2003-05-01,228.8,2019-03-08
2003-06-01,214.3,2019-03-08
2003-07-01,258.4,2019-03-08
2003-08-01,261.4,2019-03-08
2003-09-01,260.7,2019-03-08
2003-10-01,324.7,2019-03-08
2003-11-01,342.7,2019-03-08
2003-12-01,173.8,2019-03-08
2004-01-01,126,2019-03-08
2004-02-01,120.1,2019-03-08
2004-03-01,155.4,2019-03-08
2004-04-01,267,2019-03-08
2004-05-01,358.4,2019-03-08
2004-06-01,412,2019-03-08
2004-07-01,539.9,2019-03-08
2004-08-01,614.2,2019-03-08
2004-09-01,710.3,2019-03-08
2004-10-01,832.6,2019-03-08
2004-11-01,938.4,2019-03-08
2004-12-01,760.2,2019-03-08
2005-01-01,343.5,2019-03-08
2005-02-01,459.3,2019-03-08
2005-03-01,655.4,2019-03-08
2005-04-01,786.2,2019-03-08
2005-05-01,919.5,2019-03-08
2005-06-01,1070.7,2019-03-08
2005-07-01,1208.3,2019-03-08
2005-08-01,1356.1,2019-03-08
2005-09-01,1325.9,2019-03-08
2005-10-01,1671.1,2019-03-08
2005-11-01,1900.8,2019-03-08
2005-12-01,1759,2019-03-08
2006-01-01,298.9,2019-03-08
2006-02-01,448.4,2019-03-08
2006-03-01,715.3,2019-03-08
2006-04-01,850.6,2019-03-08
2006-05-01,1194.8,2019-03-08
2006-06-01,1402.7,2019-03-08
2006-07-01,1654.4,2019-03-08
2006-08-01,1977.5,2019-03-08
2006-09-01,2131,2019-03-08
2006-10-01,2424.1,2019-03-08
2006-11-01,2626.7,2019-03-08
2006-12-01,2250.6,2019-03-08
2007-01-01,371.2,2019-03-08
2007-02-01,508.4,2019-03-08
2007-03-01,775.6,2019-03-08
2007-04-01,923.5,2019-03-08
2007-05-01,1241.2,2019-03-08
2007-06-01,1464.5,2019-03-08
2007-07-01,1819.9,2019-03-08
2007-08-01,2120,2019-03-08
2007-09-01,2182.6,2019-03-08
2007-10-01,2965.8,2019-03-08
2007-11-01,2523.1,2019-03-08
2007-12-01,1989.7,2019-03-08
2008-01-01,561,2019-03-08
2008-02-01,694.1,2019-03-08
2008-03-01,998.4,2019-03-08
2008-04-01,1793,2019-03-08
2008-05-01,2053.4,2019-03-08
2008-06-01,2028.1,2019-03-08
2008-07-01,3073.8,2019-03-08
2008-08-01,3305.6,2019-03-08
2008-09-01,3437.4,2019-03-08
2008-10-01,3834.6,2019-03-08
2008-11-01,3380,2019-03-08
2008-12-01,2012.1,2019-03-08
2009-01-01,582.9,2019-03-08
2009-02-01,317.4,2019-03-08
2009-03-01,226.4,2019-03-08
2009-04-01,15.6,2019-03-08
2009-05-01,-162.6,2019-03-08
2009-06-01,-577,2019-03-08
2009-07-01,-575.4,2019-03-08
2009-08-01,-565.7,2019-03-08
2009-09-01,-948.9,2019-03-08
2009-10-01,-920.4,2019-03-08
2009-11-01,-1123.4,2019-03-08
2009-12-01,-2448.6,2019-03-08
2010-01-01,396,2019-03-08
2010-02-01,243.7,2019-03-08
2010-03-01,242.4,2019-03-08
2010-04-01,308.9,2019-03-08
2010-05-01,288.9,2019-03-08
2010-06-01,272.3,2019-03-08
2010-07-01,293.4,2019-03-08
2010-08-01,247.2,2019-03-08
2010-09-01,109.7,2019-03-08
2010-10-01,36.2,2019-03-08
2010-11-01,-100.1,2019-03-08
2010-12-01,-1584.7,2019-03-08
2011-01-01,468.8,2019-03-08
2011-02-01,455.9,2019-03-08
2011-03-01,817,2019-03-08
2011-04-01,1172.4,2019-03-08
2011-05-01,1442.6,2019-03-08
2011-06-01,1746.4,2019-03-08
2011-07-01,2083.3,2019-03-08
2011-08-01,2357.5,2019-03-08
2011-09-01,2425.4,2019-03-08
2011-10-01,2700.7,2019-03-08
2011-11-01,2640.8,2019-03-08
2011-12-01,860.7,2019-03-08
2012-01-01,413.5,2019-03-08
2012-02-01,225.9,2019-03-08
2012-03-01,519.9,2019-03-08
2012-04-01,636.5,2019-03-08
2012-05-01,1050.9,2019-03-08
2012-06-01,1140.2,2019-03-08
2012-07-01,1402,2019-03-08
2012-08-01,1593.2,2019-03-08
2012-09-01,1585.4,2019-03-08
2012-10-01,1778.1,2019-03-08
2012-11-01,1734.6,2019-03-08
2012-12-01,260.4,2019-03-08
2013-01-01,288.4,2019-03-08
2013-02-01,95.7,2019-03-08
2013-03-01,290.9,2019-03-08
2013-04-01,396.1,2019-03-08
2013-05-01,570.1,2019-03-08
2013-06-01,535.3,2019-03-08
2013-07-01,736.9,2019-03-08
2013-08-01,848.6,2019-03-08
2013-09-01,913.3,2019-03-08
2013-10-01,1136.8,2019-03-08
2013-11-01,1030.3,2019-03-08
2013-12-01,-848.2,2019-03-08
2014-01-01,745.2,2019-03-08
2014-02-01,206.3,2019-03-08
2014-03-01,528.4,2019-03-08
2014-04-01,719.7,2019-03-08
2014-05-01,1052.6,2019-03-08
2014-06-01,1087.6,2019-03-08
2014-07-01,1387.8,2019-03-08
2014-08-01,1511.7,2019-03-08
2014-09-01,1542.3,2019-03-08
2014-10-01,1589.7,2019-03-08
2014-11-01,1548.2,2019-03-08
2014-12-01,-845.6,2019-03-08
2015-01-01,-171.7,2019-03-08
2015-02-01,-834.1,2019-03-08
2015-03-01,-447.3,2019-03-08
2015-04-01,-826.9,2019-03-08
2015-05-01,-845.7,2019-03-08
2015-06-01,-882.8,2019-03-08
2015-07-01,-812.1,2019-03-08
2015-08-01,-851.7,2019-03-08
2015-09-01,-751.8,2019-03-08
2015-10-01,-589.8,2019-03-08
2015-11-01,-985.7,2019-03-08
2015-12-01,-2819.5,2019-03-08
2016-01-01,557.6,2019-03-08
2016-02-01,-83.9,2019-03-08
2016-03-01,-463,2019-03-08
2016-04-01,-699.4,2019-03-08
2016-05-01,-893.6,2019-03-08
2016-06-01,-1061.4,2019-03-08
2016-07-01,-851.3,2019-03-08
2016-08-01,-904,2019-03-08
2016-09-01,-1119,2019-03-08
2016-10-01,-1004.3,2019-03-08
2016-11-01,-1348.4,2019-03-08
2016-12-01,-3142.1,2019-03-08
2017-01-01,295.9,2019-03-08
2017-02-01,22.9,2019-03-08
2017-03-01,144.1,2019-03-08
2017-04-01,-12.5,2019-03-08
2017-05-01,163.8,2019-03-08
2017-06-01,64.5,2019-03-08
2017-07-01,388.4,2019-03-08
2017-08-01,400.7,2019-03-08
2017-09-01,389.4,2019-03-08
2017-10-01,697.2,2019-03-08
2017-11-01,370.3,2019-03-08
2017-12-01,-1349.1,2019-03-08
2018-01-01,416.5,2019-03-08
2018-02-01,309.2,2019-03-08
2018-03-01,712.7,2019-03-08
2018-04-01,799.1,2019-03-08
2018-05-01,1276.1,2019-03-08
2018-06-01,1514.7,2019-03-08
2018-07-01,2456.8,2019-03-08
2018-08-01,2999.3,2019-03-08
2018-09-01,3434.1,2019-03-08
2018-10-01,4366.1,2019-03-08
2018-11-01,4625.5,2019-03-08
