exch_rate,date,access_date
161.2,1992-07-01,2019-03-08
205,1992-08-01,2019-03-08
254,1992-09-01,2019-03-08
398,1992-10-01,2019-03-08
447,1992-11-01,2019-03-08
414.5,1992-12-01,2019-03-08
572,1993-01-01,2019-03-08
593,1993-02-01,2019-03-08
684,1993-03-01,2019-03-08
823,1993-04-01,2019-03-08
994,1993-05-01,2019-03-08
1060,1993-06-01,2019-03-08
989.5,1993-07-01,2019-03-08
985,1993-08-01,2019-03-08
1201,1993-09-01,2019-03-08
1186,1993-10-01,2019-03-08
1214,1993-11-01,2019-03-08
1247,1993-12-01,2019-03-08
1542,1994-01-01,2019-03-08
1657,1994-02-01,2019-03-08
1753,1994-03-01,2019-03-08
1820,1994-04-01,2019-03-08
1901,1994-05-01,2019-03-08
1985,1994-06-01,2019-03-08
2052,1994-07-01,2019-03-08
2153,1994-08-01,2019-03-08
2596,1994-09-01,2019-03-08
3055,1994-10-01,2019-03-08
3232,1994-11-01,2019-03-08
3550,1994-12-01,2019-03-08
4004,1995-01-01,2019-03-08
4407,1995-02-01,2019-03-08
4897,1995-03-01,2019-03-08
5100,1995-04-01,2019-03-08
4995,1995-05-01,2019-03-08
4538,1995-06-01,2019-03-08
4415,1995-07-01,2019-03-08
4435,1995-08-01,2019-03-08
4508,1995-09-01,2019-03-08
4504,1995-10-01,2019-03-08
4578,1995-11-01,2019-03-08
4640,1995-12-01,2019-03-08
4732,1996-01-01,2019-03-08
4815,1996-02-01,2019-03-08
4854,1996-03-01,2019-03-08
4932,1996-04-01,2019-03-08
5014,1996-05-01,2019-03-08
5108,1996-06-01,2019-03-08
5191,1996-07-01,2019-03-08
5345,1996-08-01,2019-03-08
5396,1996-09-01,2019-03-08
5455,1996-10-01,2019-03-08
5511,1996-11-01,2019-03-08
5560,1996-12-01,2019-03-08
5629,1997-01-01,2019-03-08
5676,1997-02-01,2019-03-08
5726,1997-03-01,2019-03-08
5762,1997-04-01,2019-03-08
5773,1997-05-01,2019-03-08
5782,1997-06-01,2019-03-08
5798,1997-07-01,2019-03-08
5830,1997-08-01,2019-03-08
5860,1997-09-01,2019-03-08
5887,1997-10-01,2019-03-08
5919,1997-11-01,2019-03-08
5960,1997-12-01,2019-03-08
6.026,1998-01-01,2019-03-08
6.072,1998-02-01,2019-03-08
6.106,1998-03-01,2019-03-08
6.133,1998-04-01,2019-03-08
6.164,1998-05-01,2019-03-08
6.198,1998-06-01,2019-03-08
6.238,1998-07-01,2019-03-08
7.905,1998-08-01,2019-03-08
16.0645,1998-09-01,2019-03-08
16.01,1998-10-01,2019-03-08
17.88,1998-11-01,2019-03-08
20.65,1998-12-01,2019-03-08
22.6,1999-01-01,2019-03-08
22.86,1999-02-01,2019-03-08
24.18,1999-03-01,2019-03-08
24.23,1999-04-01,2019-03-08
24.44,1999-05-01,2019-03-08
24.22,1999-06-01,2019-03-08
24.19,1999-07-01,2019-03-08
24.75,1999-08-01,2019-03-08
25.08,1999-09-01,2019-03-08
26.05,1999-10-01,2019-03-08
26.42,1999-11-01,2019-03-08
27,1999-12-01,2019-03-08
28.55,2000-01-01,2019-03-08
