date,m2sa,access_date
1995-07-01,152.420069175687,2019-03-08
1995-08-01,162.905093876241,2019-03-08
1995-09-01,173.990135577494,2019-03-08
1995-10-01,183.802144313338,2019-03-08
1995-11-01,190.119262228111,2019-03-08
1995-12-01,200.391839235142,2019-03-08
1996-01-01,211.458974035464,2019-03-08
1996-02-01,220.157104760046,2019-03-08
1996-03-01,229.802585092863,2019-03-08
1996-04-01,242.987315773305,2019-03-08
1996-05-01,247.792804998983,2019-03-08
1996-06-01,252.145125350695,2019-03-08
1996-07-01,259.821433745998,2019-03-08
1996-08-01,268.463396996085,2019-03-08
1996-09-01,275.689683377745,2019-03-08
1996-10-01,282.341857125756,2019-03-08
1996-11-01,287.429919700767,2019-03-08
1996-12-01,289.659328967541,2019-03-08
1997-01-01,276.038313753037,2019-03-08
1997-02-01,294.533067468091,2019-03-08
1997-03-01,300.578025715205,2019-03-08
1997-04-01,307.707756854762,2019-03-08
1997-05-01,314.495957211711,2019-03-08
1997-06-01,325.775974571809,2019-03-08
1997-07-01,342.758784034035,2019-03-08
1997-08-01,358.493079091593,2019-03-08
1997-09-01,365.183419026178,2019-03-08
1997-10-01,370.641394162393,2019-03-08
1997-11-01,379.230575043518,2019-03-08
1997-12-01,365.553420916528,2019-03-08
1998-01-01,357.9380483808,2019-03-08
1998-02-01,370.945942783151,2019-03-08
1998-03-01,369.080837096952,2019-03-08
1998-04-01,367.573258833605,2019-03-08
1998-05-01,370.171245399977,2019-03-08
1998-06-01,372.82668054173,2019-03-08
1998-07-01,364.993616924521,2019-03-08
1998-08-01,360.853502094281,2019-03-08
1998-09-01,350.880827847243,2019-03-08
1998-10-01,380.898178364126,2019-03-08
1998-11-01,396.533632398611,2019-03-08
1998-12-01,415.378611244542,2019-03-08
1999-01-01,433.386309150668,2019-03-08
1999-02-01,458.657648503508,2019-03-08
1999-03-01,475.750283709935,2019-03-08
1999-04-01,487.10993803388,2019-03-08
1999-05-01,517.39640938453,2019-03-08
1999-06-01,549.627362520715,2019-03-08
1999-07-01,567.485495156956,2019-03-08
1999-08-01,588.324875513125,2019-03-08
1999-09-01,606.013891856895,2019-03-08
1999-10-01,620.465698519101,2019-03-08
1999-11-01,652.985866448825,2019-03-08
1999-12-01,674.351817436974,2019-03-08
2000-01-01,681.328235649618,2019-03-08
2000-02-01,723.273749449817,2019-03-08
2000-03-01,751.971321418513,2019-03-08
2000-04-01,777.77611297153,2019-03-08
