date,gdp_current_price,access_date
2011-01-01,13028.8438035529,2019-03-08
2011-04-01,14481.1419990862,2019-03-08
2011-07-01,15805.5816669369,2019-03-08
2011-10-01,16966.9730395774,2019-03-08
2012-01-01,15182.9872121348,2019-03-08
2012-04-01,16472.2155013837,2019-03-08
2012-07-01,17733.5447892249,2019-03-08
2012-10-01,18775.1356147654,2019-03-08
2013-01-01,16375.2612847889,2019-03-08
2013-04-01,17538.8387142457,2019-03-08
2013-07-01,19058.1140351666,2019-03-08
2013-10-01,20161.6810583852,2019-03-08
2014-01-01,17390.2017371581,2019-03-08
2014-04-01,19127.9577902439,2019-03-08
2014-07-01,20758.5912047398,2019-03-08
2014-10-01,21922.907764382,2019-03-08
2015-01-01,18579.0589498598,2019-03-08
2015-04-01,19865.7404325652,2019-03-08
2015-07-01,22017.587441347,2019-03-08
2015-10-01,22924.8048471202,2019-03-08
2016-01-01,19110.1190623033,2019-03-08
2016-04-01,20624.8608970105,2019-03-08
2016-07-01,22515.7605150866,2019-03-08
2016-10-01,23897.8251437771,2019-03-08
2017-01-01,20549.8358209566,2019-03-08
2017-04-01,22035.0852735933,2019-03-08
2017-07-01,23948.8499109153,2019-03-08
2017-10-01,25503.4047386503,2019-03-08
2018-01-01,22239.4366123177,2019-03-08
2018-04-01,24846.606809223,2019-03-08
2018-07-01,27007.2364670877,2019-03-08
