date,agriculture,construction,budget,exch_rate,cpi,ind_prod,dur_1_day,dur_2_7_days,dur_8_30_days,dur_31_90_days,dur_91_180_days,dur_181_plus_days,m2sa,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,import,export,percent_to_period_last_year,percent_to_last_period
1991-01-01,,,,,106.2,,,,,,,,,,,,,,,,,,
1991-02-01,,,,,104.8,,,,,,,,,,,,,,,,,,
1991-03-01,,,,,106.3,,,,,,,,,,,,,,,,,,
1991-04-01,,,,,163.5,,,,,,,,,,,,,,,,,,
1991-05-01,,,,,103,,,,,,,,,,,,,,,,,,
1991-06-01,,,,,101.2,,,,,,,,,,,,,,,,,,
1991-07-01,,,,,100.6,,,,,,,,,,,,,,,,,,
1991-08-01,,,,,100.5,,,,,,,,,,,,,,,,,,
1991-09-01,,,,,101.1,,,,,,,,,,,,,,,,,,
1991-10-01,,,,,103.5,,,,,,,,,,,,,,,,,,
1991-11-01,,,,,108.9,,,,,,,,,,,,,,,,,,
1991-12-01,,,,,112.1,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,345.3,,,,,,,,,,,,,,,,,,
1992-02-01,,,,,138,,,,,,,,,,,,,,,,,,
1992-03-01,,,,,129.9,,,,,,,,,,,,,,,,,,
1992-04-01,,,,,121.7,,,,,,,,,,,,,,,,,,
1992-05-01,,,,,111.9,,,,,,,,,,,,,,,,,,
1992-06-01,,,,,119.1,,,,,,,,,,,,,,,,,,
1992-07-01,,,,161.2,110.6,,,,,,,,,,,,,,,,,,
1992-08-01,,,,205,108.6,,,,,,,,,,,,,,,,,,
1992-09-01,,,,254,111.5,,,,,,,,,,,,,,,,,,
1992-10-01,,,,398,122.9,,,,,,,,,,,,,,,,,,
1992-11-01,,,,447,126.1,,,,,,,,,,,,,,,,,,
1992-12-01,,,,414.5,125.2,,,,,,,,,,,,,,,,,,
1993-01-01,,,,572,125.8,,,,,,,,,4532,1954,1953,1,1,2578,,,,
1993-02-01,,,,593,124.7,,,,,,,,,,,,,,,,,,
1993-03-01,,,,684,120.1,,,,,,,,,,,,,,,,,,
1993-04-01,,,,823,118.7,,,,,,,,,5378,2798,2796,0,1,2580,,,,
1993-05-01,,,,994,118.1,,,,,,,,,,,,,,,,,,
1993-06-01,,,,1060,119.9,,,,,,,,,,,,,,,,,,
1993-07-01,,,,989.5,122.39,,,,,,,,,7141,4396,4394,1,1,2745,,,,
1993-08-01,,,,985,126,,,,,,,,,,,,,,,,,,
1993-09-01,,,,1201,123,,,,,,,,,,,,,,,,,,
1993-10-01,,,,1186,119.5,,,,,,,,,9112,6157,6117,38,1,2955,,,,
1993-11-01,,,,1214,116.39,,,,,,,,,,,,,,,,,,
1993-12-01,,,,1247,112.5,,,,,,,,,,,,,,,,,,
1994-01-01,,,,1542,117.9,,,,,,,,,8894,5835,5829,5,1,3059,,,,
1994-02-01,,,,1657,110.82,,,,,,,,,,,,,,,,,,
1994-03-01,,,,1753,107.41,,,,,,,,,,,,,,,,,,
1994-04-01,,,,1820,108.49,,,,,,,,,7642,4602,4599,2,1,3040,,,,
1994-05-01,,,,1901,106.91,,,,,,,,,,,,,,,,,,
1994-06-01,,,,1985,106,,,,,,,,,,,,,,,,,,
1994-07-01,,,,2052,105.33,,,,,,,,,10511,8048,7159,888,2,2463,,,,
1994-08-01,,,,2153,104.62,,,,,,,,,,,,,,,,,,
1994-09-01,,,,2596,107.96,,,,,,,,,,,,,,,,,,
1994-10-01,,,,3055,115,,,,,,,,,6745,4161,3834,326,1,2584,,,,
1994-11-01,,,,3232,114.61,,,,,,,,,,,,,,,,,,
1994-12-01,,,,3550,116.44,,,,,,,,,,,,,,,,,,
1995-01-01,,,,4004,117.77,,,,,,,,,6506,3980,3976,3,1,2525,,,,
1995-02-01,,,,4407,111.02,,,,,,,,,,,,,,,,,,
1995-03-01,,,,4897,108.94,,,,,,,,,,,,,,,,,,
1995-04-01,,,,5100,108.47,,,,,,,,,6552,4148,4145,2,1,2404,,,,
1995-05-01,,,,4995,107.93,,,,,,,,,,,,,,,,,,
1995-06-01,,,,4538,106.66,,,,,,,,,,,,,,,,,,
1995-07-01,,,,4415,105.38,,,,,,,,152.420069175687,12413,10086,9857,227,1,2327,,,,
1995-08-01,,,,4435,104.56,,,,,,,,162.905093876241,,,,,,,,,,
1995-09-01,,,,4508,104.46,,,,,,,,173.990135577494,,,,,,,,,,
1995-10-01,,,,4504,104.72,,,,,,,,183.802144313338,13622,11154,11022,132,1,2467,,,,
1995-11-01,,,,4578,104.56,,,,,,,,190.119262228111,,,,,,,,,,
1995-12-01,,,,4640,103.2,,,,,,,,200.391839235142,,,,,,,,,,
1996-01-01,,,,4732,104.11,,,,,,,,211.458974035464,17207,14383,14265,117,1,2824,,,,
1996-02-01,,,,4815,102.79,,,,,,,,220.157104760046,,,,,,,,,,
1996-03-01,,,,4854,102.8,,,,,,,,229.802585092863,,,,,,,,,,
1996-04-01,,,,4932,102.16,,,,,,,,242.987315773305,19248,16331,16074,256,1,2917,,,,
1996-05-01,,,,5014,101.6,,,,,,,,247.792804998983,,,,,,,,,,
1996-06-01,,,,5108,101.17,,,,,,,,252.145125350695,,,,,,,,,,
1996-07-01,,,,5191,100.72,,,,,,,,259.821433745998,15877,12792,12652,139,1,3085,,,,
1996-08-01,,,,5345,99.79,,,,,,,,268.463396996085,,,,,,,,,,
1996-09-01,,,,5396,100.33,,,,,,,,275.689683377745,,,,,,,,,,
1996-10-01,,,,5455,101.2,,,,,,,,282.341857125756,15075,11399,11392,5,1,3677,,,,
1996-11-01,,,,5511,101.88,,,,,,,,287.429919700767,,,,,,,,,,
1996-12-01,,,,5560,101.42,,,,,,,,289.659328967541,,,,,,,,,,
1997-01-01,,,,5629,102.34,,,,,,,,276.038313753037,15324,11276,11271,5,1,4047,6654,4704,,
1997-02-01,,,,5676,101.54,,,,,,,,294.533067468091,13993,9930,9924,4,1,4064,6433,4939,,
1997-03-01,,,,5726,101.43,,,,,,,,300.578025715205,15208,11127,11117,9,1,4081,7043,5522,,
1997-04-01,,,,5762,100.96,,,,,,,,307.707756854762,16495,12429,12427,1,1,4066,6743,6043,,
1997-05-01,,,,5773,100.94,,,,,,,,314.495957211711,18184,14068,14066,1,1,4117,6515,5391,,
1997-06-01,,,,5782,101.1,,,,,,,,325.775974571809,20016,15884,15798,85,1,4132,6730,5674,,
1997-07-01,,,,5798,100.93,,,,,,,,342.758784034035,24549,20396,20389,5,1,4153,7423,6319,,
1997-08-01,,,,5830,99.86,,,,,,,,358.493079091593,24456,20186,20180,5,1,4270,6874,5996,,
1997-09-01,,,,5860,99.7,,,,,,,,365.183419026178,23920,19604,19603,0,1,4316,6993,6077,,
1997-10-01,,,,5887,100.17,,,,,,,,370.641394162393,23105,18737,18733,3,1,4368,7763,6672,,
1997-11-01,,,,5919,100.61,,,,,,,,379.230575043518,22916,18448,18443,3,1,4468,8063,6340,,
1997-12-01,,,,5960,100.96,,,,,,,,365.553420916528,16810,12201,12199,1,1,4608,8711,8112,,
1998-01-01,,,,6.026,101.51,,,,,,,,357.9380483808,17784,12895,12771,122,1,4889,5662,5603,,
1998-02-01,,,,6.072,100.89,,,,,,,,370.945942783151,15375,10480,10477,1,1,4895,5638,5841,,
1998-03-01,,,,6.106,100.64,,,,,,,,369.080837096952,15034,10212,10208,3,1,4822,6510,6320,,
1998-04-01,,,,6.133,100.38,,,,,,,,367.573258833605,16859,11910,11906,3,1,4948,6066,6010,,
1998-05-01,,,,6.164,100.5,,,,,,,,370.171245399977,15953,10957,10952,3,1,4996,5962,5612,,
1998-06-01,,,,6.198,100.08,,,,,,,,372.82668054173,14627,9625,9621,3,1,5002,6339,5633,,
1998-07-01,,,,6.238,100.17,,,,,,,,364.993616924521,16169,11161,10906,253,1,5008,6597,5449,,
1998-08-01,,,,7.905,103.67,,,,,,,,360.853502094281,18409,13805,13791,13,1,4604,6118,4865,,
1998-09-01,,,,16.0645,138.43,,,,,,,,350.880827847243,12459,8198,8196,0,1,4262,6284,2995,,
1998-10-01,,,,16.01,104.54,,,,,,,,380.898178364126,12709,8840,8839,0,1,3869,5825,2872,,
1998-11-01,,,,17.88,105.67,,,,,,,,396.533632398611,13572,9656,9590,64,1,3916,5707,2895,,
1998-12-01,,,,20.65,111.61,,,,,,,,415.378611244542,12480,8175,8172,1,1,4306,7034,3443,,
1999-01-01,96.5,0.7,3.4,22.6,108.38,,,,,,,,433.386309150668,12223,7801,7800,0,1,4422,4154,2525,,
1999-02-01,97.2,0.9,-3.8,22.86,104.13,,,,,,,,458.657648503508,11621,7078,7014,63,1,4543,4536,2773,,
1999-03-01,97.7,2.5,-17.1,24.18,102.79,,,,,,,,475.750283709935,11437,7284,7281,2,1,4153,5367,3259,,
1999-04-01,99.1,1,-21.5,24.23,103.03,,,,,,,,487.10993803388,10765,6679,6676,1,1,4086,6017,3092,,
