date,agriculture,construction,budget,cpi,ind_prod,dur_1_day,dur_2_7_days,dur_8_30_days,dur_31_90_days,dur_91_180_days,dur_181_plus_days,m2sa,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,import,export,percent_to_period_last_year,percent_to_last_period,exch_rate
1991-01-01,,,,106.2,,,,,,,,,,,,,,,,,,,
1991-02-01,,,,104.8,,,,,,,,,,,,,,,,,,,
1991-03-01,,,,106.3,,,,,,,,,,,,,,,,,,,
1991-04-01,,,,163.5,,,,,,,,,,,,,,,,,,,
1991-05-01,,,,103,,,,,,,,,,,,,,,,,,,
1991-06-01,,,,101.2,,,,,,,,,,,,,,,,,,,
1991-07-01,,,,100.6,,,,,,,,,,,,,,,,,,,
1991-08-01,,,,100.5,,,,,,,,,,,,,,,,,,,
1991-09-01,,,,101.1,,,,,,,,,,,,,,,,,,,
1991-10-01,,,,103.5,,,,,,,,,,,,,,,,,,,
1991-11-01,,,,108.9,,,,,,,,,,,,,,,,,,,
1991-12-01,,,,112.1,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,345.3,,,,,,,,,,,,,,,,,,,
1992-02-01,,,,138,,,,,,,,,,,,,,,,,,,
1992-03-01,,,,129.9,,,,,,,,,,,,,,,,,,,
1992-04-01,,,,121.7,,,,,,,,,,,,,,,,,,,
1992-05-01,,,,111.9,,,,,,,,,,,,,,,,,,,
1992-06-01,,,,119.1,,,,,,,,,,,,,,,,,,,
1992-07-01,,,,110.6,,,,,,,,,,,,,,,,,,,161.2
1992-08-01,,,,108.6,,,,,,,,,,,,,,,,,,,205
1992-09-01,,,,111.5,,,,,,,,,,,,,,,,,,,254
1992-10-01,,,,122.9,,,,,,,,,,,,,,,,,,,398
1992-11-01,,,,126.1,,,,,,,,,,,,,,,,,,,447
1992-12-01,,,,125.2,,,,,,,,,,,,,,,,,,,414.5
1993-01-01,,,,125.8,,,,,,,,,4532,1954,1953,1,1,2578,,,,,572
1993-02-01,,,,124.7,,,,,,,,,,,,,,,,,,,593
1993-03-01,,,,120.1,,,,,,,,,,,,,,,,,,,684
1993-04-01,,,,118.7,,,,,,,,,5378,2798,2796,0,1,2580,,,,,823
1993-05-01,,,,118.1,,,,,,,,,,,,,,,,,,,994
1993-06-01,,,,119.9,,,,,,,,,,,,,,,,,,,1060
1993-07-01,,,,122.39,,,,,,,,,7141,4396,4394,1,1,2745,,,,,989.5
1993-08-01,,,,126,,,,,,,,,,,,,,,,,,,985
1993-09-01,,,,123,,,,,,,,,,,,,,,,,,,1201
1993-10-01,,,,119.5,,,,,,,,,9112,6157,6117,38,1,2955,,,,,1186
1993-11-01,,,,116.39,,,,,,,,,,,,,,,,,,,1214
1993-12-01,,,,112.5,,,,,,,,,,,,,,,,,,,1247
1994-01-01,,,,117.9,,,,,,,,,8894,5835,5829,5,1,3059,,,,,1542
1994-02-01,,,,110.82,,,,,,,,,,,,,,,,,,,1657
1994-03-01,,,,107.41,,,,,,,,,,,,,,,,,,,1753
1994-04-01,,,,108.49,,,,,,,,,7642,4602,4599,2,1,3040,,,,,1820
1994-05-01,,,,106.91,,,,,,,,,,,,,,,,,,,1901
1994-06-01,,,,106,,,,,,,,,,,,,,,,,,,1985
1994-07-01,,,,105.33,,,,,,,,,10511,8048,7159,888,2,2463,,,,,2052
1994-08-01,,,,104.62,,,,,,,,,,,,,,,,,,,2153
1994-09-01,,,,107.96,,,,,,,,,,,,,,,,,,,2596
1994-10-01,,,,115,,,,,,,,,6745,4161,3834,326,1,2584,,,,,3055
1994-11-01,,,,114.61,,,,,,,,,,,,,,,,,,,3232
1994-12-01,,,,116.44,,,,,,,,,,,,,,,,,,,3550
1995-01-01,,,,117.77,,,,,,,,,6506,3980,3976,3,1,2525,,,,,4004
1995-02-01,,,,111.02,,,,,,,,,,,,,,,,,,,4407
1995-03-01,,,,108.94,,,,,,,,,,,,,,,,,,,4897
1995-04-01,,,,108.47,,,,,,,,,6552,4148,4145,2,1,2404,,,,,5100
1995-05-01,,,,107.93,,,,,,,,,,,,,,,,,,,4995
1995-06-01,,,,106.66,,,,,,,,,,,,,,,,,,,4538
1995-07-01,,,,105.38,,,,,,,,152.421696853552,12413,10086,9857,227,1,2327,,,,,4415
1995-08-01,,,,104.56,,,,,,,,162.907830602897,,,,,,,,,,,4435
1995-09-01,,,,104.46,,,,,,,,173.992765769783,,,,,,,,,,,4508
1995-10-01,,,,104.72,,,,,,,,183.804693835449,13622,11154,11022,132,1,2467,,,,,4504
1995-11-01,,,,104.56,,,,,,,,190.123489513244,,,,,,,,,,,4578
1995-12-01,,,,103.2,,,,,,,,200.390183049027,,,,,,,,,,,4640
1996-01-01,,,,104.11,,,,,,,,211.462032286801,17207,14383,14265,117,1,2824,,,,,4732
1996-02-01,,,,102.79,,,,,,,,220.146505016409,,,,,,,,,,,4815
1996-03-01,,,,102.8,,,,,,,,229.796430959843,,,,,,,,,,,4854
1996-04-01,,,,102.16,,,,,,,,242.985494672178,19248,16331,16074,256,1,2917,,,,,4932
1996-05-01,,,,101.6,,,,,,,,247.792247207833,,,,,,,,,,,5014
1996-06-01,,,,101.17,,,,,,,,252.145988066889,,,,,,,,,,,5108
1996-07-01,,,,100.72,,,,,,,,259.824159682153,15877,12792,12652,139,1,3085,,,,,5191
1996-08-01,,,,99.79,,,,,,,,268.467751441848,,,,,,,,,,,5345
1996-09-01,,,,100.33,,,,,,,,275.69389366549,,,,,,,,,,,5396
1996-10-01,,,,101.2,,,,,,,,282.345665800433,15075,11399,11392,5,1,3677,,,,,5455
1996-11-01,,,,101.88,,,,,,,,287.435646234835,,,,,,,,,,,5511
1996-12-01,,,,101.42,,,,,,,,289.656906940182,,,,,,,,,,,5560
1997-01-01,,,,102.34,,,,,,,,276.042470192597,15324,11276,11271,5,1,4047,6654,4704,,,5629
1997-02-01,,,,101.54,,,,,,,,294.51971460663,13993,9930,9924,4,1,4064,6433,4939,,,5676
1997-03-01,,,,101.43,,,,,,,,300.570193056523,15208,11127,11117,9,1,4081,7043,5522,,,5726
1997-04-01,,,,100.96,,,,,,,,307.705515065585,16495,12429,12427,1,1,4066,6743,6043,,,5762
1997-05-01,,,,100.94,,,,,,,,314.495243308249,18184,14068,14066,1,1,4117,6515,5391,,,5773
1997-06-01,,,,101.1,,,,,,,,325.777214941346,20016,15884,15798,85,1,4132,6730,5674,,,5782
1997-07-01,,,,100.93,,,,,,,,342.762037044359,24549,20396,20389,5,1,4153,7423,6319,,,5798
1997-08-01,,,,99.86,,,,,,,,358.49845965893,24456,20186,20180,5,1,4270,6874,5996,,,5830
1997-09-01,,,,99.7,,,,,,,,365.18890246868,23920,19604,19603,0,1,4316,6993,6077,,,5860
1997-10-01,,,,100.17,,,,,,,,370.646134992544,23105,18737,18733,3,1,4368,7763,6672,,,5887
1997-11-01,,,,100.61,,,,,,,,379.236530202582,22916,18448,18443,3,1,4468,8063,6340,,,5919
1997-12-01,,,,100.96,,,,,,,,365.55043742694,16810,12201,12199,1,1,4608,8711,8112,,,5960
1998-01-01,,,,101.51,,,,,,,,357.944036730551,17784,12895,12771,122,1,4889,5662,5603,,,6.026
1998-02-01,,,,100.89,,,,,,,,370.930812520845,15375,10480,10477,1,1,4895,5638,5841,,,6.072
1998-03-01,,,,100.64,,,,,,,,369.071590680607,15034,10212,10208,3,1,4822,6510,6320,,,6.106
1998-04-01,,,,100.38,,,,,,,,367.570895074601,16859,11910,11906,3,1,4948,6066,6010,,,6.133
1998-05-01,,,,100.5,,,,,,,,370.170591007117,15953,10957,10952,3,1,4996,5962,5612,,,6.164
1998-06-01,,,,100.08,,,,,,,,372.828139890014,14627,9625,9621,3,1,5002,6339,5633,,,6.198
1998-07-01,,,,100.17,,,,,,,,364.996582205892,16169,11161,10906,253,1,5008,6597,5449,,,6.238
1998-08-01,,,,103.67,,,,,,,,360.858264369936,18409,13805,13791,13,1,4604,6118,4865,,,7.905
1998-09-01,,,,138.43,,,,,,,,350.885525227159,12459,8198,8196,0,1,4262,6284,2995,,,16.0645
1998-10-01,,,,104.54,,,,,,,,380.902567350646,12709,8840,8839,0,1,3869,5825,2872,,,16.01
1998-11-01,,,,105.67,,,,,,,,396.538640078158,13572,9656,9590,64,1,3916,5707,2895,,,17.88
1998-12-01,,,,111.61,,,,,,,,415.374181054026,12480,8175,8172,1,1,4306,7034,3443,,,20.65
1999-01-01,96.5,0.7,3.4,108.38,,,,,,,,433.394898890677,12223,7801,7800,0,1,4422,4154,2525,,,22.6
1999-02-01,97.2,0.9,-3.8,104.13,,,,,,,,458.641364904632,11621,7078,7014,63,1,4543,4536,2773,,,22.86
1999-03-01,97.7,2.5,-17.1,102.79,,,,,,,,475.739521311005,11437,7284,7281,2,1,4153,5367,3259,,,24.18
1999-04-01,99.1,1,-21.5,103.03,,,,,,,,487.107462516313,10765,6679,6676,1,1,4086,6017,3092,,,24.23
