date,h,model_fun,point_forecast
2020-01-01,4,arima_fun,0.0033989152731502955
2020-01-01,4,arima101_101_fun,0.013065234770238129
2020-01-01,4,ets_fun,0.008502633660800198
2020-01-01,4,tbats_fun,0.0064192023033955645
2019-04-01,1,arima_fun,0.004873784542057444
2019-04-01,1,arima101_101_fun,0.004343702869576917
2019-04-01,1,ets_fun,0.008502633660800198
2019-04-01,1,tbats_fun,0.007974588899425745
2019-07-01,2,arima_fun,0.004322062044873429
2019-07-01,2,arima101_101_fun,0.0061412101122845664
2019-07-01,2,ets_fun,0.008502633660800198
2019-07-01,2,tbats_fun,0.007348538083124072
2019-10-01,3,arima_fun,0.0038327956762425385
2019-10-01,3,arima101_101_fun,0.006422601925372275
2019-10-01,3,ets_fun,0.008502633660800198
2019-10-01,3,tbats_fun,0.0068370658686795595
