h,model_fun,mae
1,arima101_010_fun,1.2325742302266425
1,arima_fun,1.3764337483208702
1,ets_fun,1.7785768016008234
1,tbats_fun,1.8434978709845136
2,arima101_010_fun,1.6101777387029017
2,arima_fun,1.6819998530936051
2,ets_fun,1.688660781174076
2,tbats_fun,2.2770165873664023
3,arima101_010_fun,1.5735569872632433
3,ets_fun,1.729860296313302
3,arima_fun,1.7391043812830502
3,tbats_fun,2.3308103291941347
4,ets_fun,1.572057136466924
4,arima101_010_fun,1.5753304228749565
4,arima_fun,1.756317441065202
4,tbats_fun,2.080449393167888
5,arima101_010_fun,1.5726930367522698
5,ets_fun,1.597402486113281
5,arima_fun,1.697860839999373
5,tbats_fun,2.008813444456204
6,arima101_010_fun,1.5736681885418156
6,ets_fun,1.5762725506351425
6,arima_fun,1.59084643566752
6,tbats_fun,2.0181704743935502
