h,model_fun,mae
1,tbats_fun,0.007713346699981808
1,ets_fun,0.007886978091914586
1,arima_fun,0.011241615898677755
1,arima101_101_fun,0.011379476110895173
2,arima101_101_fun,0.009517478114565917
2,tbats_fun,0.01074175869513752
2,ets_fun,0.01094500804404436
2,arima_fun,0.012815137426528308
3,arima_fun,0.009165559082156579
3,arima101_101_fun,0.009493958590896669
3,tbats_fun,0.009955332059699867
3,ets_fun,0.010168401924828176
4,arima101_101_fun,0.006502465551305347
4,ets_fun,0.008439821599038918
4,arima_fun,0.008720037691386644
4,tbats_fun,0.010904453822020786
