h,model_fun,mae
1,ets_fun,104.92491627814634
1,arima101_010_fun,173.46567163016124
1,arima_fun,192.92266666659825
1,tbats_fun,248.33496712246688
2,arima101_010_fun,164.03831033363667
2,ets_fun,208.68158820903
2,arima_fun,227.79333333309813
2,tbats_fun,267.0242220744758
3,arima_fun,112.3533333330317
3,arima101_010_fun,157.5261389976081
3,ets_fun,257.257170855975
3,tbats_fun,423.60834446474325
4,arima_fun,179.68533333268533
4,arima101_010_fun,217.00200202216993
4,tbats_fun,241.44386280902117
4,ets_fun,341.1914903430096
