h,model_fun,mae
1,arima101_010_fun,1.3161709364023828
1,arima_fun,1.3270183299663916
1,tbats_fun,1.4461951530210466
1,ets_fun,1.5993535305879771
2,ets_fun,1.584014778692841
2,arima_fun,1.651534309436985
2,arima101_010_fun,1.8141417168558174
2,tbats_fun,1.8645911145102676
3,ets_fun,1.5216130308119584
3,arima_fun,1.830912194617131
3,arima101_010_fun,1.9784629266313634
3,tbats_fun,2.032622486882777
4,ets_fun,1.5320755360404459
4,arima_fun,1.935642509140101
4,tbats_fun,2.051209168411647
4,arima101_010_fun,2.0603674527078617
5,ets_fun,1.4933858083315645
5,arima_fun,1.7678002891724216
5,arima101_010_fun,1.8822032303480423
5,tbats_fun,1.960790212167262
6,ets_fun,1.4968286410524254
6,arima101_010_fun,1.656413142413136
6,arima_fun,1.741949093819077
6,tbats_fun,1.7683766486814558
