h,model_fun,mae
1,arima101_101_fun,0.1355336223177403
1,arima_fun,0.1414326746207152
1,tbats_fun,0.15804822387343692
1,ets_fun,0.16113537127130187
2,ets_fun,0.16712936063496714
2,tbats_fun,0.17297454311483945
2,arima101_101_fun,0.18247311538973107
2,arima_fun,0.2019596831171647
3,tbats_fun,0.1543091584126124
3,ets_fun,0.200808232877705
3,arima_fun,0.2298389223901843
3,arima101_101_fun,0.23334822221830437
4,tbats_fun,0.15761300232706715
4,ets_fun,0.20654524208307307
4,arima_fun,0.25282970196258886
4,arima101_101_fun,0.25540142655212106
5,ets_fun,0.2050753568101186
5,tbats_fun,0.20808306631531864
5,arima101_101_fun,0.2652335733388739
5,arima_fun,0.2666967582265478
6,ets_fun,0.19624603744105684
6,tbats_fun,0.2022445299345307
6,arima_fun,0.2287496860654052
6,arima101_101_fun,0.26668568365924583
