h,model_fun,mae
1,ets_fun,2.414315846712264
1,arima_fun,2.59386119606134
1,tbats_fun,2.6216688114603244
1,arima101_010_fun,5.010866344710645
2,arima_fun,2.691633890467961
2,ets_fun,2.914362961342235
2,tbats_fun,2.932344944860162
2,arima101_010_fun,4.864525722079831
3,arima_fun,3.209088349052678
3,ets_fun,3.7428658244799573
3,tbats_fun,4.318958913428355
3,arima101_010_fun,4.533837698820938
4,arima_fun,2.8371975080134115
4,ets_fun,3.8283383163411764
4,arima101_010_fun,4.273080535784372
4,tbats_fun,4.351806957985706
