date,cpi,access_date
7670,106.2,2020-12-05
7701,104.8,2020-12-05
7729,106.3,2020-12-05
7760,163.5,2020-12-05
7790,103,2020-12-05
7821,101.2,2020-12-05
7851,100.6,2020-12-05
7882,100.5,2020-12-05
7913,101.1,2020-12-05
7943,103.5,2020-12-05
7974,108.9,2020-12-05
8004,112.1,2020-12-05
8035,345.3,2020-12-05
8066,138,2020-12-05
8095,129.9,2020-12-05
8126,121.7,2020-12-05
8156,111.9,2020-12-05
8187,119.1,2020-12-05
8217,110.6,2020-12-05
8248,108.6,2020-12-05
8279,111.5,2020-12-05
8309,122.9,2020-12-05
8340,126.1,2020-12-05
8370,125.2,2020-12-05
8401,125.8,2020-12-05
8432,124.7,2020-12-05
8460,120.1,2020-12-05
8491,118.7,2020-12-05
8521,118.1,2020-12-05
8552,119.9,2020-12-05
8582,122.39,2020-12-05
8613,126,2020-12-05
8644,123,2020-12-05
8674,119.5,2020-12-05
8705,116.39,2020-12-05
8735,112.5,2020-12-05
8766,117.9,2020-12-05
8797,110.82,2020-12-05
8825,107.41,2020-12-05
8856,108.49,2020-12-05
8886,106.91,2020-12-05
8917,106,2020-12-05
8947,105.33,2020-12-05
8978,104.62,2020-12-05
9009,107.96,2020-12-05
9039,115,2020-12-05
9070,114.61,2020-12-05
9100,116.44,2020-12-05
9131,117.77,2020-12-05
9162,111.02,2020-12-05
9190,108.94,2020-12-05
9221,108.47,2020-12-05
9251,107.93,2020-12-05
9282,106.66,2020-12-05
9312,105.38,2020-12-05
9343,104.56,2020-12-05
9374,104.46,2020-12-05
9404,104.72,2020-12-05
9435,104.56,2020-12-05
9465,103.2,2020-12-05
9496,104.11,2020-12-05
9527,102.79,2020-12-05
9556,102.8,2020-12-05
9587,102.16,2020-12-05
9617,101.6,2020-12-05
9648,101.17,2020-12-05
9678,100.72,2020-12-05
9709,99.79,2020-12-05
9740,100.33,2020-12-05
9770,101.2,2020-12-05
9801,101.88,2020-12-05
9831,101.42,2020-12-05
9862,102.34,2020-12-05
9893,101.54,2020-12-05
9921,101.43,2020-12-05
9952,100.96,2020-12-05
9982,100.94,2020-12-05
10013,101.1,2020-12-05
10043,100.93,2020-12-05
10074,99.86,2020-12-05
10105,99.7,2020-12-05
10135,100.17,2020-12-05
10166,100.61,2020-12-05
10196,100.96,2020-12-05
10227,101.51,2020-12-05
10258,100.89,2020-12-05
10286,100.64,2020-12-05
10317,100.38,2020-12-05
10347,100.5,2020-12-05
10378,100.08,2020-12-05
10408,100.17,2020-12-05
10439,103.67,2020-12-05
10470,138.43,2020-12-05
10500,104.54,2020-12-05
10531,105.67,2020-12-05
10561,111.61,2020-12-05
10592,108.38,2020-12-05
10623,104.13,2020-12-05
10651,102.79,2020-12-05
10682,103.03,2020-12-05
10712,102.22,2020-12-05
10743,101.91,2020-12-05
10773,102.82,2020-12-05
10804,101.16,2020-12-05
10835,101.48,2020-12-05
10865,101.37,2020-12-05
10896,101.23,2020-12-05
10926,101.26,2020-12-05
10957,102.33,2020-12-05
10988,101.04,2020-12-05
11017,100.64,2020-12-05
11048,100.89,2020-12-05
11078,101.75,2020-12-05
11109,102.55,2020-12-05
11139,101.79,2020-12-05
11170,100.98,2020-12-05
11201,101.32,2020-12-05
11231,102.11,2020-12-05
11262,101.52,2020-12-05
11292,101.64,2020-12-05
11323,102.76,2020-12-05
11354,102.28,2020-12-05
11382,101.86,2020-12-05
11413,101.79,2020-12-05
11443,101.78,2020-12-05
11474,101.62,2020-12-05
11504,100.45,2020-12-05
11535,100.01,2020-12-05
11566,100.6,2020-12-05
11596,101.09,2020-12-05
11627,101.36,2020-12-05
11657,101.6,2020-12-05
11688,103.09,2020-12-05
11719,101.16,2020-12-05
11747,101.08,2020-12-05
11778,101.16,2020-12-05
11808,101.69,2020-12-05
11839,100.53,2020-12-05
11869,100.72,2020-12-05
11900,100.09,2020-12-05
11931,100.4,2020-12-05
11961,101.07,2020-12-05
11992,101.61,2020-12-05
12022,101.54,2020-12-05
12053,102.4,2020-12-05
12084,101.63,2020-12-05
12112,101.05,2020-12-05
12143,101.02,2020-12-05
12173,100.8,2020-12-05
12204,100.8,2020-12-05
12234,100.71,2020-12-05
12265,99.59,2020-12-05
12296,100.34,2020-12-05
12326,101,2020-12-05
12357,100.96,2020-12-05
12387,101.1,2020-12-05
12418,101.75,2020-12-05
12449,100.99,2020-12-05
12478,100.75,2020-12-05
12509,100.99,2020-12-05
12539,100.74,2020-12-05
12570,100.78,2020-12-05
12600,100.92,2020-12-05
12631,100.42,2020-12-05
12662,100.43,2020-12-05
12692,101.14,2020-12-05
12723,101.11,2020-12-05
12753,101.14,2020-12-05
12784,102.62,2020-12-05
12815,101.23,2020-12-05
12843,101.34,2020-12-05
12874,101.12,2020-12-05
12904,100.8,2020-12-05
12935,100.64,2020-12-05
12965,100.46,2020-12-05
12996,99.86,2020-12-05
13027,100.25,2020-12-05
13057,100.55,2020-12-05
13088,100.74,2020-12-05
13118,100.82,2020-12-05
13149,102.43,2020-12-05
13180,101.66,2020-12-05
13208,100.82,2020-12-05
13239,100.35,2020-12-05
13269,100.48,2020-12-05
13300,100.28,2020-12-05
13330,100.67,2020-12-05
13361,100.19,2020-12-05
13392,100.09,2020-12-05
13422,100.28,2020-12-05
13453,100.63,2020-12-05
13483,100.79,2020-12-05
13514,101.68,2020-12-05
13545,101.11,2020-12-05
13573,100.59,2020-12-05
13604,100.57,2020-12-05
13634,100.63,2020-12-05
13665,100.95,2020-12-05
13695,100.87,2020-12-05
13726,100.09,2020-12-05
13757,100.79,2020-12-05
13787,101.64,2020-12-05
13818,101.23,2020-12-05
13848,101.13,2020-12-05
13879,102.31,2020-12-05
13910,101.2,2020-12-05
13939,101.2,2020-12-05
13970,101.42,2020-12-05
14000,101.35,2020-12-05
14031,100.97,2020-12-05
14061,100.51,2020-12-05
14092,100.36,2020-12-05
14123,100.8,2020-12-05
14153,100.91,2020-12-05
14184,100.83,2020-12-05
14214,100.69,2020-12-05
14245,102.37,2020-12-05
14276,101.65,2020-12-05
14304,101.31,2020-12-05
14335,100.69,2020-12-05
14365,100.57,2020-12-05
14396,100.6,2020-12-05
14426,100.63,2020-12-05
14457,100,2020-12-05
14488,99.97,2020-12-05
14518,100,2020-12-05
14549,100.29,2020-12-05
14579,100.41,2020-12-05
14610,101.64,2020-12-05
14641,100.86,2020-12-05
14669,100.63,2020-12-05
14700,100.29,2020-12-05
14730,100.5,2020-12-05
14761,100.39,2020-12-05
14791,100.36,2020-12-05
14822,100.55,2020-12-05
14853,100.84,2020-12-05
14883,100.5,2020-12-05
14914,100.81,2020-12-05
14944,101.08,2020-12-05
14975,102.37,2020-12-05
15006,100.78,2020-12-05
15034,100.62,2020-12-05
15065,100.43,2020-12-05
15095,100.48,2020-12-05
15126,100.23,2020-12-05
15156,99.99,2020-12-05
15187,99.76,2020-12-05
15218,99.96,2020-12-05
15248,100.48,2020-12-05
15279,100.42,2020-12-05
15309,100.44,2020-12-05
15340,100.5,2020-12-05
15371,100.37,2020-12-05
15400,100.58,2020-12-05
15431,100.31,2020-12-05
15461,100.52,2020-12-05
15492,100.89,2020-12-05
15522,101.23,2020-12-05
15553,100.1,2020-12-05
15584,100.55,2020-12-05
15614,100.46,2020-12-05
15645,100.34,2020-12-05
15675,100.54,2020-12-05
15706,100.97,2020-12-05
15737,100.56,2020-12-05
15765,100.34,2020-12-05
15796,100.51,2020-12-05
15826,100.66,2020-12-05
15857,100.42,2020-12-05
15887,100.82,2020-12-05
15918,100.14,2020-12-05
15949,100.21,2020-12-05
15979,100.57,2020-12-05
16010,100.56,2020-12-05
16040,100.51,2020-12-05
16071,100.59,2020-12-05
16102,100.7,2020-12-05
16130,101.02,2020-12-05
16161,100.9,2020-12-05
16191,100.9,2020-12-05
16222,100.62,2020-12-05
16252,100.49,2020-12-05
16283,100.24,2020-12-05
16314,100.65,2020-12-05
16344,100.82,2020-12-05
16375,101.28,2020-12-05
16405,102.62,2020-12-05
16436,103.85,2020-12-05
16467,102.22,2020-12-05
16495,101.21,2020-12-05
16526,100.46,2020-12-05
16556,100.35,2020-12-05
16587,100.19,2020-12-05
16617,100.8,2020-12-05
16648,100.35,2020-12-05
16679,100.57,2020-12-05
16709,100.74,2020-12-05
16740,100.75,2020-12-05
16770,100.77,2020-12-05
16801,100.96,2020-12-05
16832,100.63,2020-12-05
16861,100.46,2020-12-05
16892,100.44,2020-12-05
16922,100.41,2020-12-05
16953,100.36,2020-12-05
16983,100.54,2020-12-05
17014,100.01,2020-12-05
17045,100.17,2020-12-05
17075,100.43,2020-12-05
17106,100.44,2020-12-05
17136,100.4,2020-12-05
17167,100.62,2020-12-05
17198,100.22,2020-12-05
17226,100.13,2020-12-05
17257,100.33,2020-12-05
17287,100.37,2020-12-05
17318,100.61,2020-12-05
17348,100.07,2020-12-05
17379,99.46,2020-12-05
17410,99.85,2020-12-05
17440,100.2,2020-12-05
17471,100.22,2020-12-05
17501,100.42,2020-12-05
17532,100.31,2020-12-05
17563,100.21,2020-12-05
17591,100.29,2020-12-05
17622,100.38,2020-12-05
17652,100.38,2020-12-05
17683,100.49,2020-12-05
17713,100.27,2020-12-05
17744,100.01,2020-12-05
17775,100.16,2020-12-05
17805,100.35,2020-12-05
17836,100.5,2020-12-05
17866,100.84,2020-12-05
17897,101.01,2020-12-05
17928,100.44,2020-12-05
17956,100.32,2020-12-05
17987,100.29,2020-12-05
18017,100.34,2020-12-05
18048,100.04,2020-12-05
18078,100.2,2020-12-05
18109,99.76,2020-12-05
18140,99.84,2020-12-05
18170,100.13,2020-12-05
18201,100.28,2020-12-05
18231,100.36,2020-12-05
18262,100.4,2020-12-05
18293,100.33,2020-12-05
18322,100.55,2020-12-05
18353,100.83,2020-12-05
18383,100.27,2020-12-05
18414,100.22,2020-12-05
18444,100.35,2020-12-05
18475,99.96,2020-12-05
18506,99.93,2020-12-05
18536,100.43,2020-12-05
