h,model_fun,mae
1,tbats_fun,0.024819098166328026
1,arima_fun,0.025933109667095364
1,ets_fun,0.026743066959854605
1,arima101_101_fun,0.031722242437268344
2,arima101_101_fun,0.028043605363887978
2,tbats_fun,0.0284424933152463
2,arima_fun,0.02980820822307586
2,ets_fun,0.029831170480939917
3,arima101_101_fun,0.02716801179043851
3,arima_fun,0.02738668197366404
3,tbats_fun,0.0280906257406858
3,ets_fun,0.030962675327943952
4,arima101_101_fun,0.023391112645621964
4,arima_fun,0.023671821152836305
4,tbats_fun,0.025019672953964112
4,ets_fun,0.028200082751388456
