date,h,model_fun,point_forecast
2021-09-01,6,arima_fun,100.34971172697144
2021-09-01,6,arima101_101_fun,100.20851180405887
2021-09-01,6,ets_fun,100.30895267567732
2021-09-01,6,tbats_fun,100.03160102536286
2021-04-01,1,arima_fun,100.6740519299209
2021-04-01,1,arima101_101_fun,100.57792244893834
2021-04-01,1,ets_fun,100.6061064609579
2021-04-01,1,tbats_fun,100.62076598222255
2021-05-01,2,arima_fun,100.56539690072971
2021-05-01,2,arima101_101_fun,100.46712983624705
2021-05-01,2,ets_fun,100.58202493557674
2021-05-01,2,tbats_fun,100.34153956741201
2021-06-01,3,arima_fun,100.46974745669583
2021-06-01,3,arima101_101_fun,100.41292487979725
2021-06-01,3,ets_fun,100.55694317243226
2021-06-01,3,tbats_fun,100.45880836292793
2021-07-01,4,arima_fun,100.54341442136787
2021-07-01,4,arima101_101_fun,100.44165516242198
2021-07-01,4,ets_fun,100.6546809252665
2021-07-01,4,tbats_fun,100.33428411155195
2021-08-01,5,arima_fun,100.33370524282374
2021-08-01,5,arima101_101_fun,100.1057418444124
2021-08-01,5,ets_fun,100.10978856949119
2021-08-01,5,tbats_fun,99.99911761278537
