date,h,model_fun,point_forecast
2021-10-01,4,arima_fun,-0.0045292004280804545
2021-10-01,4,arima101_101_fun,0.0023979406610610977
2021-10-01,4,ets_fun,-0.023889897060385853
2021-10-01,4,tbats_fun,-0.00656877472856268
2021-01-01,1,arima_fun,-0.012582821201058993
2021-01-01,1,arima101_101_fun,-0.0031744315016375858
2021-01-01,1,ets_fun,-0.023889897060385853
2021-01-01,1,tbats_fun,-0.016065385747011867
2021-04-01,2,arima_fun,-0.00895074525278625
2021-04-01,2,arima101_101_fun,-0.012183062708956314
2021-04-01,2,ets_fun,-0.023889897060385853
2021-04-01,2,tbats_fun,-0.01217655871015047
2021-07-01,3,arima_fun,-0.006367080903409236
2021-07-01,3,arima101_101_fun,-0.004013532429404257
2021-07-01,3,ets_fun,-0.023889897060385853
2021-07-01,3,tbats_fun,-0.009062469891413289
